iter	Passed	Remaining
1451	19295	13926
1452	19308	13913
1453	19319	13898
1454	19327	13880
1455	19351	13875
1456	19360	13859
1457	19368	13842
1458	19379	13827
1459	19390	13812
1460	19412	13805
1461	19422	13789
1462	19433	13774
1463	19446	13761
1464	19453	13743
1465	19477	13737
1466	19484	13720
1467	19495	13705
1468	19507	13691
1469	19517	13675
1470	19539	13668
1471	19549	13652
1472	19559	13637
1473	19570	13622
1474	19578	13605
1475	19603	13600
1476	19611	13582
1477	19621	13568
1478	19629	13551
1479	19640	13535
1480	19664	13529
1481	19670	13511
1482	19684	13499
1483	19692	13481
1484	19704	13467
1485	19724	13459
1486	19738	13446
1487	19747	13430
1488	19756	13414
1489	19765	13398
1490	19788	13391
1491	19798	13375
1492	19808	13360
1493	19822	13347
1494	19829	13329
1495	19852	13323
1496	19862	13308
1497	19874	13293
1498	19881	13276
1499	19894	13262
1500	19916	13255
1501	19924	13238
1502	19936	13224
1503	19944	13207
1504	19956	13193
1505	19980	13187
1506	19989	13171
1507	19999	13156
1508	20011	13141
1509	20018	13124
1510	20040	13117
1511	20047	13099
1512	20058	13085
1513	20071	13071
1514	20083	13057
1515	20103	13048
1516	20110	13031
1517	20121	13016
1518	20131	13001
1519	20141	12985
1520	20166	12980
1521	20173	12962
1522	20184	12948
1523	20198	12935
1524	20207	12919
1525	20235	12915
1526	20241	12897
1527	20253	12883
1528	20266	12870
1529	20279	12857
1530	20301	12849
1531	20313	12834
1532	20322	12819
1533	20336	12806
1534	20349	12792
1535	20370	12784
1536	20379	12768
1537	20390	12753
1538	20400	12738
1539	20414	12726
1540	20439	12719
1541	20446	12702
1542	20455	12687
1543	20467	12672
1544	20480	12659
1545	20501	12651
1546	20510	12635
1547	20520	12619
1548	20529	12603
1549	20539	12588
1550	20562	12581
1551	20571	12565
1552	20580	12549
1553	20590	12534
1554	20604	12521
1555	20624	12512
1556	20639	12500
1557	20645	12482
1558	20661	12470
1559	20667	12453
1560	20692	12447
1561	20701	12431
1562	20712	12416
1563	20721	12401
1564	20733	12386
1565	20752	12377
1566	20760	12361
1567	20771	12346
1568	20783	12332
1569	20791	12316
1570	20814	12308
1571	20826	12294
1572	20835	12278
1573	20845	12263
1574	20855	12248
1575	20878	12241
1576	20890	12226
1577	20900	12211
1578	20910	12196
1579	20920	12181
1580	20944	12174
1581	20952	12158
1582	20963	12143
1583	20972	12128
1584	20982	12112
1585	21003	12104
1586	21013	12088
1587	21023	12074
1588	21034	12059
1589	21044	12044
1590	21067	12036
1591	21076	12020
1592	21092	12009
1593	21098	11992
1594	21108	11976
1595	21130	11968
1596	21140	11953
1597	21150	11938
1598	21160	11923
1599	21170	11908
1600	21192	11900
1601	21202	11885
1602	21213	11870
1603	21222	11854
1604	21234	11840
1605	21257	11832
1606	21265	11817
1607	21278	11803
1608	21285	11787
1609	21296	11772
1610	21320	11765
1611	21331	11750
1612	21342	11736
1613	21350	11720
1614	21360	11705
1615	21383	11697
1616	21394	11683
1617	21406	11668
1618	21415	11653
1619	21425	11638
1620	21454	11633
1621	21460	11616
1622	21473	11603
1623	21483	11588
1624	21495	11574
1625	21521	11568
1626	21531	11553
1627	21541	11537
1628	21551	11523
1629	21560	11507
1630	21581	11498
1631	21589	11482
1632	21598	11467
1633	21610	11453
1634	21621	11438
1635	21648	11433
1636	21654	11416
1637	21665	11401
1638	21677	11387
1639	21683	11370
1640	21707	11363
1641	21714	11346
1642	21725	11332
1643	21736	11317
1644	21746	11303
1645	21768	11294
1646	21777	11278
1647	21787	11263
1648	21796	11248
1649	21806	11233
1650	21827	11224
1651	21838	11210
1652	21846	11193
1653	21860	11181
1654	21866	11164
1655	21890	11156
1656	21898	11140
1657	21907	11125
1658	21914	11109
1659	21926	11095
1660	21947	11086
1661	21954	11069
1662	21964	11054
1663	21977	11041
1664	21986	11026
1665	22013	11019
